TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-10,2026-09-10,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15150.00,15200.00,15125.00,15155.28,15165.00,15143.33,,15151.73,,,35,530766.24,11,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15200.00,15200.01,15180.00,15180.00,15180.00,15200.00,,15180.00,,,3,45580.01,3,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15275.98,15345.00,15105.01,15215.21,15200.00,15199.98,,15215.21,,,334,5090457.18,62,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15148.01,15279.99,15148.01,15210.00,15210.00,15179.50,,15223.00,,,97,1475169.53,15,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15200.00,15217.00,15200.00,15217.00,15217.00,15168.97,,15206.00,,,2,30417.00,2,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15175.65,15249.98,15132.03,15165.03,15165.03,15100.15,,15165.03,,,91,1380049.35,33,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15200.00,15290.00,15200.00,15201.00,15200.00,15200.00,,15201.00,,,82,1248447.03,18,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15200.00,15200.00,15200.00,15200.00,15200.00,15150.00,,15200.00,,,2,30400.00,1,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15190.00,15190.00,15190.00,15190.00,15190.00,15190.00,,15190.00,,,11,167090.00,3,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15070.01,15219.99,15070.01,15219.99,15219.99,15153.84,,15219.99,,,59,893472.14,5,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15146.85,15279.99,15110.00,15110.00,15110.00,15146.85,,15110.00,,,28,423512.84,10,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15101.01,15174.00,15101.00,15174.00,15174.00,15099.00,,15089.50,,,93,1407751.46,12,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15160.04,15160.04,15160.04,15160.04,15160.04,15160.04,,15160.04,,,11,166760.44,1,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15200.01,15200.01,15150.00,15155.00,15155.00,15100.01,,15157.50,,,41,621590.05,4,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15149.00,15149.00,15149.00,15149.00,15149.00,15149.00,,15149.00,,,21,318129.00,2,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15175.01,15175.01,15175.01,15175.01,15175.01,15150.00,,15175.01,,,3,45525.03,1,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15200.10,15276.10,15125.00,15149.00,15149.00,15140.00,,15201.00,,,41,621893.33,21,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15250.00,15265.00,15210.00,15265.00,15265.00,15244.09,,15270.00,,,234,3565867.27,31,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15299.00,15299.00,15161.00,15232.27,15171.01,15230.44,,15232.27,,,372,5675847.77,34,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15198.00,15200.00,15120.01,15120.01,15120.01,15121.75,,15120.01,,,449,6806558.08,34,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15101.00,15250.00,15101.00,15246.00,15250.00,15164.99,,15223.00,,,25,378872.00,9,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15150.01,15239.00,15150.01,15161.99,15170.00,15147.43,,15161.99,,,403,6121572.81,67,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15200.00,15200.00,15102.00,15160.00,15160.00,15136.91,,15155.56,,,265,4015962.14,80,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15300.00,15300.00,15210.00,15230.00,15230.00,15242.61,,15230.00,,,8,121835.00,5,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,15298.99,15298.99,15052.01,15149.00,15149.00,15030.00,,15149.00,,,5,75701.01,3,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15200.00,15385.00,15035.01,15385.00,15385.00,15200.00,,15385.00,,,21,318953.02,5,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15126.12,15219.99,15126.01,15152.36,15151.01,15153.32,,15153.44,,,205,3113486.72,25,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15127.01,15240.00,15121.01,15212.63,15219.99,15110.00,,15220.07,,,150,2281054.00,41,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,15162.00,15304.00,15162.00,15200.01,15200.01,15156.83,,15205.25,,,18,273764.06,11,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,15176.00,15389.00,15176.00,15200.00,15200.00,15211.11,,15200.00,,,38,578531.30,24,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15200.00,15200.00,15140.00,15141.01,15141.01,15200.00,,15141.01,,,84,1274653.42,21,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,15155.01,15199.90,15135.00,15170.00,15170.00,15293.26,,15170.00,,,203,3077597.36,50,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,15297.99,15298.00,15125.01,15150.00,15150.00,15158.33,,15150.00,,,153,2319232.23,31,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,15288.00,15300.00,15208.19,15238.84,15208.19,15288.00,,15238.84,,,135,2060347.65,40,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,11192,IN0020220078,SGBAUG30,GB,,,,,2.50%GOLDBONDS2030SR-II,15236.01,15400.01,15236.01,15348.49,15310.00,15235.78,,15332.33,,,130,1993346.55,47,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,15312.20,15357.42,15257.22,15283.76,15284.01,15349.99,,15283.76,,,94,1437639.09,29,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,7879,IN0020210236,SGBJAN30IX,GB,,,,,2.50%GOLDBONDS2030SR-IX,15203.62,15398.56,15170.00,15178.72,15199.98,15203.62,,15178.75,,,347,5292618.41,112,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,8401,IN0020210319,SGBMAR30X,GB,,,,,2.50%GOLDBONDS2030SR-X,15373.23,15373.23,15222.00,15222.01,15222.01,15373.23,,15222.01,,,33,502621.46,13,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,17202,IN0020230069,SGBJUN31I,GB,,,,,2.50%GOLDBONDS2031SR-I,15320.01,15444.95,15320.01,15389.99,15370.00,15317.72,,15385.79,,,273,4198777.40,80,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,19456,IN0020230093,SGBSEP31II,GB,,,,,2.50%GOLDBONDS2031SR-II,15525.00,15575.00,15501.01,15566.34,15575.00,15471.36,,15564.41,,,693,10771781.88,161,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,22476,IN0020230168,SGBDE31III,GB,,,,,2.50%GOLDBONDS2031SR-III,15727.10,15727.10,15625.00,15642.04,15635.00,15727.10,,15642.75,,,669,10476452.16,165,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,14598,IN0020220169,SGBMAR31IV,GB,,,,,2.50%GOLDBONDS2031SR-IV,15403.00,15499.97,15360.95,15405.56,15405.56,15440.00,,15432.78,,,38,587732.10,24,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,22886,IN0020230184,SGBFEB32IV,GB,,,,,2.50%GOLDBONDS2032SR-IV,16099.99,16199.99,15885.73,15988.07,15964.00,15885.72,,15985.22,,,1027,16404237.42,208,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,16921,INE144J01027,20MICRONS,EQ,,,,,20 MICRONS LTD,219.48,220.90,210.73,211.87,211.00,218.06,,211.88,,,115259,24691249.80,3336,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,4,INE253B01015,21STCENMGM,EQ,,,,,21ST CENTURY MGMT SERVICE,39.19,39.55,38.21,38.97,38.91,38.80,,38.97,,,2643,103063.55,52,F1,1,,,,,
2026-09-10,2026-09-10,CM,NSE,STK,13061,INE466L01038,360ONE,EQ,,,,,360 ONE WAM LIMITED,1087.00,1104.40,1076.60,1094.90,1094.90,1087.40,,1094.91,,,839166,919419004.20,49577,F1,1,,,,,
